coregistration/source_target/func_on_anat,signal_modeling/nuisance_regressors,motion_correction_realignment/register_to/mean,coregistration/cost_function/normalised_mutual_information,motion_correction_realignment/register_to/first,signal_modelling/temporal_noise_autocorrelation/FAST,spatial_normalization/template/MNI152_linear,spatial_normalization/interpolation/trilinear,spatial_normalization/template/MNI305,spatial_normalization/algorithm/linear,spatial_normalization/bias_regularisation/light,signal_modeling/nuisance_regressors/motion,coregistration/cost_function/normalised_cross_correlation,spatial_normalization/algorithm/DARTEL,spatial_normalization/bias_regularisation/medium,spatial_normalization/bias_regularisation/very_light,spatial_normalization/bias_fwhm,spatial_smoothing/fwhm,coregistration/cost_function/mutual_information,signal_modelling/temporal_noise_autocorrelation/AR1,slice_timing_correction/ref_slice/middle,slice_timing_correction/ref_slice,signal_modeling/hrf/temporal_derivs,coregistration/cost_function/entropy_correlation_coefficient,spatial_normalization/bias_regularisation/extremely_light,signal_modeling/hrf/canonical,spatial_normalization/interpolation/nearest_neighbour,spatial_normalization/bias_regularisation,signal_modeling/nuisance_regressors/comp_cor,signal_modeling/hrf/temporal_dispersion_derivs,slice_timing_correction/tool,spatial_normalization/interpolation/bspline,spatial_normalization/bias_regularisation/heavy,slice_timing_correction,slice_timing_correction/tool/spm,slice_timing_correction/ref_slice/first,spatial_normalization/template/MNI152_nonlinear,id,from_ref,cluster
False,True,True,False,False,False,False,False,False,False,0,18,True,False,0,0,0,6,False,True,False,False,True,False,0,False,False,False,False,False,False,True,0,False,False,False,False,ef9c96bb413750b89292cfa1af757fd95e86d595ac4039cab497b77310abdae6,0.8553455374627842,3.0
False,True,False,False,True,True,False,True,False,False,0,24,True,False,0,0,0,6,False,False,False,False,True,False,0,False,False,False,False,False,False,False,0,False,False,False,False,ef9434892761e0e4575ceaa4abb74bb5405a765027f6c29dbcd0bcd48e522718,0.8678851199994877,3.0
False,True,False,False,True,True,False,False,False,False,0,18,True,False,0,0,0,6,False,False,True,True,True,False,0,False,True,False,False,False,True,False,0,True,True,False,False,ec79c4cb1f0fb47cd4964a018152a1c4e3309fcfd44650a6a97115935bf2024b,0.8453616154862978,3.0
False,True,False,False,True,True,False,False,False,False,0,24,True,False,0,0,0,6,False,False,True,True,False,False,0,False,True,False,False,True,True,False,0,True,True,False,False,ec64ba1265d8289706b5d96d13e0952c233384f2aa127ca9e61d0d4eb7950ed8,0.8369211651839077,3.0
False,True,True,False,False,True,False,True,False,False,0,24,True,False,0,0,0,6,False,False,False,True,False,False,0,True,False,False,False,False,True,False,0,True,True,True,False,ebf43b590b82b8c1b8558044ce4a355391ab0e2e4b8aceeb428ed4c1999d5adf,0.8407559920722867,3.0
False,True,False,False,True,False,False,False,False,False,0,18,True,False,0,0,0,6,False,True,False,True,False,False,0,True,False,False,False,False,True,True,0,True,True,True,False,ea5d5205b9f8e6a3e8384509b25bf1571ea77f0d78d072dfa66646a6b49572e0,0.8346529912737325,3.0
False,False,True,False,False,True,False,False,False,False,0,0,True,False,0,0,0,6,False,False,False,True,False,False,0,True,False,False,False,False,True,True,0,True,True,True,False,e71d0cd6cc035220defbe87b5fac071135838314d146cd6b308ab73281df755c,0.7100224212264191,4.0
False,True,True,False,False,False,False,True,False,False,0,6,True,False,0,0,0,6,False,True,False,False,False,False,0,True,False,False,False,False,False,False,0,False,False,False,False,e65bf9f6da5c0c1f1105c052111854d821ccf00c90133f12a33876b9b4f4135d,0.8068093999023755,4.0
False,False,False,False,True,True,False,True,False,False,0,0,True,False,0,0,0,6,False,False,False,True,True,False,0,False,False,False,False,False,True,False,0,True,True,True,False,e505160250f4709c2de37fd708d5c8fd3f274431daed3dc940bc665940831bdf,0.6976569434254529,4.0
False,True,True,False,False,False,False,False,False,False,0,6,True,False,0,0,0,6,False,True,False,False,False,False,0,True,False,False,False,False,False,True,0,False,False,False,False,d53771f5c194075e9f33abee0e0d04a2a7988517f375b1fd3053ec9067a3c14f,0.8051746493931552,4.0
False,True,False,False,True,False,False,False,False,False,0,24,True,False,0,0,0,6,False,True,True,True,False,False,0,False,True,False,False,True,True,False,0,True,True,False,False,d4ffe60d44d9c7eb5d8b057bd8fe02e7b225a1e13c7cb3f0cbcd6d2cef9f35db,0.8369211651839077,3.0
False,True,True,False,False,True,False,True,False,False,0,24,True,False,0,0,0,6,False,False,True,True,False,False,0,True,False,False,False,False,True,False,0,True,True,False,False,d4ee472a73605e4546a4998800f842f55ba0bce030d2cef2407437c96442425b,0.8510365453726434,3.0
False,True,True,False,False,True,False,False,False,False,0,18,True,False,0,0,0,6,False,False,True,True,False,False,0,False,False,False,False,True,True,True,0,True,True,False,False,d4ca84f670d45643d34643b97f602aaa87e3cffa58e5395d8e83b3aa707c5bed,0.8387783866382801,3.0
False,False,True,False,False,True,False,True,False,False,0,0,True,False,0,0,0,6,False,False,False,False,False,False,0,False,False,False,False,True,False,False,0,False,False,False,False,d4714f0f324072e5fb4cb8cd559e4c324ac788e13fb774d423a7ae6d207e4750,0.7091928293635789,4.0
False,True,False,False,True,False,False,False,False,False,0,18,True,False,0,0,0,6,False,True,False,False,False,False,0,True,True,False,False,False,False,False,0,False,False,False,False,d41c92ca051eaaed9e3f0d2fbaf9fd6762eece9359e23a1073029e505dc2a191,0.8338339859607019,3.0
False,True,True,False,False,False,False,False,False,False,0,18,True,False,0,0,0,6,False,True,True,True,False,False,0,False,True,False,False,True,True,False,0,True,True,False,False,d413627d167805e8ed35b4b217a1b948180bddff157187284625700bdf8670ee,0.8294777251916617,3.0
False,False,False,False,True,False,False,False,False,False,0,0,True,False,0,0,0,6,False,True,False,False,False,False,0,True,False,False,False,False,False,True,0,False,False,False,False,d3edca97096cecef2cb6368db4d458b16210cd078b278b2702910cc8bd0797ba,0.7146659031558898,4.0
False,True,True,False,False,False,False,False,False,False,0,6,True,False,0,0,0,6,False,True,False,True,True,False,0,False,True,False,False,False,True,False,0,True,True,True,False,d2cd4a0a3a85f525e039ec23b63a34f4c4b7a7c4221c4a7982ac6c6dbef62140,0.7844085144270757,4.0
False,True,True,False,False,False,False,False,False,False,0,18,True,False,0,0,0,6,False,True,False,False,False,False,0,False,True,False,False,True,False,False,0,False,False,False,False,d219bb24e94910d92953e0a3b942103db2e1b516d01b7befa6d976e8827a3255,0.8266632335412737,3.0
False,True,True,False,False,True,False,False,False,False,0,6,True,False,0,0,0,6,False,False,True,True,False,False,0,True,False,False,False,False,True,True,0,True,True,False,False,d15358f25d641113072ad55454ca7adf11c2a1e9f4d8f51ce802d976fac4dcba,0.8050776709271421,4.0
False,True,False,False,True,True,False,True,False,False,0,18,True,False,0,0,0,6,False,False,False,True,True,False,0,False,False,False,False,False,True,False,0,True,True,True,False,c307b7beeb3dad50ab62b5026222264b45665b5a01fdc115810e69af2ccb08fc,0.8457229051742005,3.0
False,True,False,False,True,True,False,True,False,False,0,24,True,False,0,0,0,6,False,False,False,False,False,False,0,True,False,False,False,False,False,False,0,False,False,False,False,c0ecc1a5512f029501916b781992e1fc81432068f99f5023ddfbbe6dfdec8193,0.8472048301100498,3.0
False,True,False,False,True,False,False,False,False,False,0,24,True,False,0,0,0,6,False,True,False,False,False,False,0,False,True,False,False,True,False,False,0,False,False,False,False,c04ab4441337788ebd4aa26035ce3969b73067b1e5286423b418cc4d27a9e29b,0.8337564466016165,3.0
False,True,True,False,False,True,False,False,False,False,0,24,True,False,0,0,0,6,False,False,False,False,False,False,0,True,False,False,False,False,False,True,0,False,False,False,False,c00118978a96f5de4a7b7d7a5d9b6a93c582663bba8c1d06d5731c4254747c99,0.8441064602526487,3.0
False,True,False,False,True,False,False,True,False,False,0,18,True,False,0,0,0,6,False,True,False,True,False,False,0,False,False,False,False,True,True,False,0,True,True,True,False,bfbf52d71d6d732c87603db349a8e4be672e40c3b8e5994a61eb6a317dd1f1be,0.8301685745925538,3.0
False,True,False,False,True,True,False,True,False,False,0,18,True,False,0,0,0,6,False,False,False,True,False,False,0,False,False,False,False,True,True,False,0,True,True,True,False,bdc0c6db88c1bed1984d5dc1476e740d9150df54eae92342b44ab576ff3c790e,0.8301685745925538,3.0
False,True,False,False,True,True,False,True,False,False,0,24,True,False,0,0,0,6,False,False,False,True,True,False,0,False,False,False,False,False,True,False,0,True,True,True,False,bd2b266760310526bbbb348058b0d1dff44684aa5dda08d8254593ea0403d44a,0.8531036025735789,3.0
False,True,True,False,False,False,False,False,False,False,0,24,True,False,0,0,0,6,False,True,False,True,True,False,0,False,False,False,False,False,True,True,0,True,True,True,False,ba73e5a000b28156c02dedddb74fee984d877605dc9b7cf0c63bed6d4e2aeca5,0.8513528426168248,3.0
False,True,True,False,False,False,False,True,False,False,0,6,True,False,0,0,0,6,False,True,False,True,True,False,0,False,False,False,False,False,True,False,0,True,True,True,False,b75e6394c283a11d35a3e924fa9298e1a4ddb956c15ca44d6f60933660abcca6,0.7936188659759641,4.0
False,True,False,False,True,False,False,False,False,False,0,6,True,False,0,0,0,6,False,True,False,True,False,False,0,False,False,False,False,True,True,True,0,True,True,True,False,b6f4a1f0f21521893d27bb4e5f5343066328312f1b8e57b182ec8d16c6f1ed33,0.796903715230541,4.0
False,True,False,False,True,True,False,False,False,False,0,6,True,False,0,0,0,6,False,False,False,True,False,False,0,False,True,False,False,True,True,False,0,True,True,True,False,b6d910daa74ad35666e43549979a5fc0337f70d3609507be521921650ca31cbb,0.7901403238561571,4.0
False,True,False,False,True,True,False,False,False,False,0,6,True,False,0,0,0,6,False,False,False,False,False,False,0,True,True,False,False,False,False,False,0,False,False,False,False,b68ce56ecd8023e4207ef1f043f15a40fedd04a3d2cc8b223eadf602d0afff61,0.7975108499342415,4.0
False,False,False,False,True,True,False,False,False,False,0,0,True,False,0,0,0,6,False,False,True,True,False,False,0,False,False,False,False,True,True,True,0,True,True,False,False,b4c9f5bd97ed80e824124bd8319ba6fddba925d9068c068e6a8e48e5cc4b36bc,0.7062555316822335,4.0
False,True,True,False,False,False,False,True,False,False,0,18,True,False,0,0,0,6,False,True,False,True,False,False,0,True,False,False,False,False,True,False,0,True,True,True,False,b37758404e40f9dea67fbd21cea525377ab19ba18e09aff08d243b81d1932b55,0.8393175826669961,3.0
False,False,True,False,False,False,False,True,False,False,0,0,True,False,0,0,0,6,False,True,False,True,False,False,0,True,False,False,False,False,True,False,0,True,True,True,False,b10ea0e93efbd00e19d1b94c9ce9145d0e9123cff8b0893b67823a62e581c57e,0.7117381423494192,4.0
False,True,False,False,True,True,False,False,False,False,0,24,True,False,0,0,0,6,False,False,False,True,False,False,0,False,True,False,False,True,True,False,0,True,True,True,False,aeedbd441307ff57b35ae43411b7f132493fe26bea5c2f0efefc433188539af3,0.8230149303708926,3.0
False,True,False,False,True,True,False,False,False,False,0,18,True,False,0,0,0,6,False,False,True,True,False,False,0,True,True,False,False,False,True,False,0,True,True,False,False,ade0dea722a533414a448c82e5af12ca0c4a239c1dfdf2e25eb538c4a63da1c2,0.8358417224890604,3.0
False,True,False,False,True,True,False,False,False,False,0,18,True,False,0,0,0,6,False,False,False,True,True,False,0,False,True,False,False,False,True,False,0,True,True,True,False,ad723eef14dfa9f1043144a7c84c9baabecac76fc1f992e6f61eff3735a9695c,0.8329641299213384,3.0
False,False,False,False,True,True,False,False,False,False,0,0,True,False,0,0,0,6,False,False,True,True,True,False,0,False,False,False,False,False,True,True,0,True,True,False,False,ac57830c8502acc73e4706a4bb7e4fda316776bf4938be4f9c1e15a2704da862,0.7071602307474932,4.0
False,False,True,False,False,False,False,False,False,False,0,0,True,False,0,0,0,6,False,True,False,False,True,False,0,False,False,False,False,False,False,True,0,False,False,False,False,a90811473fc32c042f2784233b083de79e1cccd2593cb42e8ccc2ec30206a26d,0.7096148610045955,4.0
False,False,False,False,True,True,False,False,False,False,0,0,True,False,0,0,0,6,False,False,False,False,False,False,0,False,True,False,False,True,False,False,0,False,False,False,False,a7bd769c6275148059f47d14beee039c7fa688c6c012d7e73fef56e9829536e1,0.704371471233506,4.0
False,True,True,False,False,True,False,False,False,False,0,6,True,False,0,0,0,6,False,False,False,True,False,False,0,False,True,False,False,True,True,False,0,True,True,True,False,a2696f8befe0e86cccc8cb112288244eebefcc9f346d81e57a374767d264fea0,0.7901747123566851,4.0
False,False,True,False,False,True,False,False,False,False,0,0,True,False,0,0,0,6,False,False,True,True,False,False,0,False,True,False,False,True,True,False,0,True,True,False,False,9ff9415870204fa83528db9ce21fdbf8f76795aeb3012d7afc8fddbdcbc3a631,0.7014361446677524,4.0
False,True,False,False,True,False,False,True,False,False,0,24,True,False,0,0,0,6,False,True,True,True,False,False,0,False,False,False,False,True,True,False,0,True,True,False,False,9ac75bdba35937c8d5cd02171288c7b349c382e5026a6c6cf8d6a412669ef97d,0.8506405233936823,3.0
False,True,False,False,True,False,False,False,False,False,0,18,True,False,0,0,0,6,False,True,False,True,True,False,0,False,True,False,False,False,True,False,0,True,True,True,False,991175d21148dc313656768487c3b162eed81bf38f3ad376fcb280c22bc8739b,0.8329641299213384,3.0
False,True,True,False,False,False,False,False,False,False,0,18,True,False,0,0,0,6,False,True,False,True,True,False,0,False,True,False,False,False,True,False,0,True,True,True,False,97a5ebf9819c725d4a0b85921f636975968b990a250941f25b231b21e573a765,0.8350740695222324,3.0
False,True,False,False,True,True,False,False,False,False,0,6,True,False,0,0,0,6,False,False,True,True,True,False,0,False,True,False,False,False,True,False,0,True,True,False,False,978a691b6e417532e7ce83f6f4c2ce8ac777101214474f922bd7f9342efb35c2,0.7662072975734876,4.0
False,True,False,False,True,True,False,True,False,False,0,6,True,False,0,0,0,6,False,False,False,False,False,False,0,True,False,False,False,False,False,False,0,False,False,False,False,956f32e1bf9274d02dd1bb7b52740d5b0be20bb5de417ca4a67f3a6441466eca,0.806022486330651,4.0
False,True,False,False,True,False,False,False,False,False,0,6,True,False,0,0,0,6,False,True,True,True,True,False,0,False,True,False,False,False,True,False,0,True,True,False,False,8eb671ebed5f3eac01d793cdfef59ddb86181c1cad62189a9cb1545b167c5927,0.7662072975734876,4.0
False,True,False,False,True,False,False,True,False,False,0,6,True,False,0,0,0,6,False,True,False,True,False,False,0,False,False,False,False,True,True,False,0,True,True,True,False,8c984c42e080387436634b0d6c28b962e52f66261ee149e76c47e17eace3ea70,0.7985724377963465,4.0
False,False,False,False,True,False,False,False,False,False,0,0,True,False,0,0,0,6,False,True,False,True,False,False,0,True,False,False,False,False,True,True,0,True,True,True,False,8b459f8b26e5b2d1ebbe3ff80f5bfe73d376c824e03f94b8da8e79c27ffc6e39,0.7101487049887113,4.0
False,False,True,False,False,True,False,False,False,False,0,0,True,False,0,0,0,6,False,False,True,True,True,False,0,False,True,False,False,False,True,False,0,True,True,False,False,8a9797201a7882a865c896385904f67dd9071401da65cad3621a7703efc14fda,0.7020934801068621,4.0
False,True,True,False,False,True,False,False,False,False,0,24,True,False,0,0,0,6,False,False,False,False,False,False,0,False,False,False,False,True,False,True,0,False,False,False,False,8a2d216deb3e9981ba68f4b9242ccb435a565d2d5198c2f07d5c306ec5a62a23,0.8440174597956834,3.0
False,True,True,False,False,True,False,False,False,False,0,18,True,False,0,0,0,6,False,False,False,False,False,False,0,False,True,False,False,True,False,False,0,False,False,False,False,882454d04d15b6666512d685f775ec4b39506f34030db8baece88bb70e65c4aa,0.8266632335412737,3.0
False,False,False,False,True,True,False,False,False,False,0,0,True,False,0,0,0,6,False,False,False,True,False,False,0,False,False,False,False,True,True,True,0,True,True,True,False,8402fe8cec0d6f837a77376c9512d75319edced1200f8c2596beccc4b8ef63b1,0.7021974276454933,4.0
False,True,False,False,True,True,False,False,False,False,0,6,True,False,0,0,0,6,False,False,False,False,True,False,0,False,False,False,False,False,False,True,0,False,False,False,False,836c3dc4dd40d379b1d76bd25a1002225d2686324cfbae16742ea7ef53daa5ba,0.7739495885560677,4.0
False,True,True,False,False,True,False,False,False,False,0,24,True,False,0,0,0,6,False,False,False,False,False,False,0,False,True,False,False,True,False,False,0,False,False,False,False,816ee68f7626f0289cf819420f313442c2fd1f47b892b60bbf0dd81d5d711b74,0.8340479903625287,3.0
False,False,True,False,False,False,False,False,False,False,0,0,True,False,0,0,0,6,False,True,False,True,True,False,0,False,True,False,False,False,True,False,0,True,True,True,False,7fca20086db769b579721bb9f85c17a9a6a9a2cccce6c4498b554c327eb60ef1,0.6909349860850819,4.0
False,True,False,False,True,True,False,False,False,False,0,6,True,False,0,0,0,6,False,False,True,True,False,False,0,False,False,False,False,True,True,True,0,True,True,False,False,7ba8d2a60767a29f8072f307af95daab708e032727fb5cc80fafa2c14a19e198,0.7704380474124375,4.0
False,True,False,False,True,True,False,True,False,False,0,18,True,False,0,0,0,6,False,False,True,True,False,False,0,True,False,False,False,False,True,False,0,True,True,False,False,79da22cd8c8cb7108b906cacea9fe09e6dd925cee915f4876d3aeb7a7885a996,0.8486782855240351,3.0
False,True,True,False,False,False,False,False,False,False,0,24,True,False,0,0,0,6,False,True,True,True,True,False,0,False,True,False,False,False,True,False,0,True,True,False,False,76ee533387b96a26a2eecdf1e91321d0cf96dc122d49140e3a46dea221bb1ec5,0.8569651688885798,3.0
False,True,False,False,True,False,False,False,False,False,0,6,True,False,0,0,0,6,False,True,False,False,False,False,0,True,False,False,False,False,False,True,0,False,False,False,False,7381a2aa6b24ae3ddb82ec677256ec4452ed8e96d14a74dde2101bac09d9df31,0.8041297747636,4.0
False,True,True,False,False,False,False,False,False,False,0,6,True,False,0,0,0,6,False,True,True,True,True,False,0,False,False,False,False,False,True,True,0,True,True,False,False,732ee80ac6a9a786ae80cc7cc246243dfd276da4a867cc3766230c095081757b,0.7739379369266225,4.0
False,True,False,False,True,True,False,True,False,False,0,6,True,False,0,0,0,6,False,False,False,True,False,False,0,False,False,False,False,True,True,False,0,True,True,True,False,72ddcbe6abc46e38ba4c9c5af3b9af7bd06db236d822dc19dc18dafdcafd604d,0.7985724377963465,4.0
False,True,True,False,False,False,False,False,False,False,0,18,True,False,0,0,0,6,False,True,True,True,False,False,0,True,True,False,False,False,True,False,0,True,True,False,False,71e9221972459e60ad021884a1b58c49c7a810742341c7a7e9416f55fe9ae4f2,0.8369425293170385,3.0
False,True,False,False,True,False,False,False,False,False,0,6,True,False,0,0,0,6,False,True,False,False,True,False,0,False,True,False,False,False,False,False,0,False,False,False,False,715996da93d728ae0efd09694fcdc08fcd274dc39e5089e0d9a11c5627387555,0.7674765699809384,4.0
False,True,False,False,True,True,False,False,False,False,0,24,True,False,0,0,0,6,False,False,False,True,True,False,0,False,True,False,False,False,True,False,0,True,True,True,False,70acd275d9bea0066ee33ab795febfe356e080607c2f21f7589e85568b8653c6,0.8393993296938339,3.0
False,False,True,False,False,False,False,True,False,False,0,0,True,False,0,0,0,6,False,True,False,False,False,False,0,True,False,False,False,False,False,False,0,False,False,False,False,7006cf975afc2b8e81a0677cbf0c9175b691f0af3cc6f23d8220842b6e3bfdad,0.7165880923458295,4.0
False,True,False,False,True,False,False,False,False,False,0,24,True,False,0,0,0,6,False,True,False,True,False,False,0,False,True,False,False,True,True,False,0,True,True,True,False,6ea1b9be71442a720b37023231d99938e2be95269e376d87941abb5f4fcfe323,0.8230149303708926,3.0
False,True,True,False,False,True,False,False,False,False,0,6,True,False,0,0,0,6,False,False,False,True,False,False,0,True,False,False,False,False,True,True,0,True,True,True,False,6b1da49b0f7be9280c8563c6235314916830451c3845007fee54e056bba63bfe,0.8165649040989796,4.0
False,True,False,False,True,False,False,False,False,False,0,6,True,False,0,0,0,6,False,True,True,True,False,False,0,False,True,False,False,True,True,False,0,True,True,False,False,67a64e02de5cf024488019992132022ed54c9d1039795f163bd62725bae885be,0.7641038323204034,4.0
False,True,False,False,True,False,False,True,False,False,0,6,True,False,0,0,0,6,False,True,False,False,False,False,0,True,False,False,False,False,False,False,0,False,False,False,False,667bb5c4f47793a10fe559da1bc5fc9ecf20945f1e737980d354c5cb6f78d0ca,0.806022486330651,4.0
False,True,True,False,False,False,False,False,False,False,0,6,True,False,0,0,0,6,False,True,False,True,False,False,0,True,True,False,False,False,True,False,0,True,True,True,False,60d132af25f581f516fb9fb14c14d5a2606d61a9eded323c020e8e3366563972,0.8083807456885811,4.0
False,True,True,False,False,True,False,True,False,False,0,18,True,False,0,0,0,6,False,False,False,True,False,False,0,False,False,False,False,True,True,False,0,True,True,True,False,5ef80d9e164ab77ef9748f41f7a728720d964f32f26e34edb75dcd0c912018a6,0.8314571703698319,3.0
False,True,True,False,False,True,False,False,False,False,0,6,True,False,0,0,0,6,False,False,True,True,False,False,0,False,False,False,False,True,True,True,0,True,True,False,False,5a8b48d2ecceae50d59eed61761128b21f5a4d0cdd021a25a576fc49b3cce76d,0.7713904606121473,4.0
False,True,True,False,False,False,False,False,False,False,0,6,True,False,0,0,0,6,False,True,False,False,True,False,0,False,False,False,False,False,False,True,0,False,False,False,False,59f2ff57b0b98f94f4fa0c8ca60f1825d2dc4e36c726e1bbddffe96f0f7909ef,0.7749977552135994,4.0
False,True,False,False,True,True,False,True,False,False,0,18,True,False,0,0,0,6,False,False,False,False,False,False,0,False,False,False,False,True,False,False,0,False,False,False,False,592d0c667c94d193a52c0abd45f415d523bb70ce067df52e904f4887313318a1,0.8382266220350449,3.0
False,True,False,False,True,False,False,False,False,False,0,6,True,False,0,0,0,6,False,True,False,False,False,False,0,True,True,False,False,False,False,False,0,False,False,False,False,590cd964888cac866ffc5ab41d0a595938405177e62771f921c43fdb70cc1045,0.7975108499342415,4.0
False,False,False,False,True,False,False,True,False,False,0,0,True,False,0,0,0,6,False,True,False,True,True,False,0,False,False,False,False,False,True,False,0,True,True,True,False,5831cfca8e3579ec14d00caf32c9f519bf74157e00a94d4834a2578e776930dd,0.6976569434254529,4.0
False,True,False,False,True,True,False,False,False,False,0,6,True,False,0,0,0,6,False,False,False,True,False,False,0,False,False,False,False,True,True,True,0,True,True,True,False,56cd8b707e89a63968115baa82e55a5f5c6222d79cc84486bdb087ba37bdb184,0.796903715230541,4.0
False,True,True,False,False,False,False,False,False,False,0,18,True,False,0,0,0,6,False,True,False,False,False,False,0,True,False,False,False,False,False,True,0,False,False,False,False,56747904fbc35abc621f0abc36d1c348d7a34db89a457481777c7149461f9c5b,0.844566082313592,3.0
False,False,False,False,True,False,False,False,False,False,0,0,True,False,0,0,0,6,False,True,False,False,False,False,0,False,True,False,False,True,False,False,0,False,False,False,False,54e4c36aba2eb1e3f43fa89fa4d96542a3e8617748dcbf7f8273ba08b072f49c,0.704371471233506,4.0
False,False,False,False,True,True,False,True,False,False,0,0,True,False,0,0,0,6,False,False,True,True,False,False,0,False,False,False,False,True,True,False,0,True,True,False,False,5069267ce4578944bcf68c300183c9205d4d682df3b3f86e8b8eb5fe75ae22d7,0.7085826281178592,4.0
False,True,False,False,True,True,False,True,False,False,0,18,True,False,0,0,0,6,False,False,True,True,True,False,0,False,False,False,False,False,True,False,0,True,True,False,False,4d96c84b4fe3cbe2d86332981a2ba16ff3c15b6425346f10a99ff2b204d6587b,0.858106105632266,3.0
False,True,False,False,True,True,False,False,False,False,0,24,True,False,0,0,0,6,False,False,False,False,False,False,0,False,False,False,False,True,False,True,0,False,False,False,False,48a257a08763c30504954670a5cd9e990cae00f62c359d5b195609dc4f2e9450,0.843195794112481,3.0
False,False,False,False,True,True,False,True,False,False,0,0,True,False,0,0,0,6,False,False,True,True,True,False,0,False,False,False,False,False,True,False,0,True,True,False,False,457ef2ac6c48e6619549c3ddcc4aaa158286268d1b5ac091ac82f9ed48ec4487,0.7093317682951583,4.0
False,True,False,False,True,True,False,False,False,False,0,18,True,False,0,0,0,6,False,False,False,True,True,False,0,False,False,False,False,False,True,True,0,True,True,True,False,438863d8ecf4a2a54eb2f9b904d9164421d41ad96500be3a302eae13e863e8a7,0.8426518662797606,3.0
